,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Op. 17 i,112,13,0,12,14,12,12,9,12,11,3,55,0,59,3,3,4,8,2,1,1,0,3,13,0,4,1,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 17 ii,45,5,4,26,10,21,14,3,15,14,11,49,0,28,6,2,4,5,11,3,2,4,4,7,0,8,0,3,3,2,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 17 iii,78,8,3,17,11,8,9,2,12,15,2,50,0,41,2,3,6,1,5,0,3,4,0,9,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 18 i,23,22,19,24,23,28,17,4,16,18,10,38,0,14,12,7,9,7,1,6,7,6,6,5,0,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 18 ii,17,7,23,29,25,37,20,13,30,22,10,53,0,42,12,11,10,16,11,5,5,5,8,14,0,8,4,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 18 iii,58,13,9,23,36,17,13,5,33,16,4,68,0,55,6,15,16,1,7,3,10,4,6,15,0,22,0,2,2,1,2,2,4,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 19 i,319,51,56,91,50,69,36,24,62,38,19,68,2,39,18,16,14,8,10,7,12,11,6,5,0,5,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 19 ii,359,40,63,69,64,48,42,13,51,31,32,85,5,43,20,20,17,7,5,9,5,5,1,6,0,5,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 20 i,119,9,4,19,17,52,13,1,56,9,19,115,0,110,12,6,16,6,11,3,11,8,7,39,0,18,9,2,4,0,3,1,0,1,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 20 ii,173,39,59,70,49,149,51,21,118,37,45,298,5,247,39,30,36,27,15,29,24,18,24,85,3,99,21,8,18,6,12,8,10,5,7,24,1,14,4,1,1,1,1,0,2,0,4,1,0,2,0,0,0,0,0,0,0,0
Op. 21 i,20,18,0,44,8,11,16,2,16,4,4,72,2,134,0,4,4,0,14,6,0,2,0,70,0,8,0,8,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
